t;"counter Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";GW[0] Received RSSI (position=240,240);GW[1] Received RSSI (position=200,140);"SF Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"TP Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"X Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"Y Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"Z Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)"
110139.5183831634;157;-119.06471702595;none;10;2;235.09288482502;234.37831270594;1.6435642900026
110256.11408562617;158;none;none;10;2;95.857351771117;325.48574535223;1.4469341894622
110404.57033373581;159;none;none;10;2;132.649691379;325.87137698405;1.4560258686939
110499.42503885761;160;-126.64351908995;none;10;2;237.97014957886;281.93258675321;1.5609889761295
110603.39493354813;161;none;none;10;2;353.41151786666;233.77143979415;1.6760386535541
110690.24057573096;162;none;none;10;2;449.83923661411;193.54262405503;1.7721391944713
110762.71453039793;163;none;none;10;2;424.03733336752;248.38035446107;1.6992626731881
111118.1243006651;164;none;none;10;2;430.53478368327;121.22411705806;1.2917106153555
111246.02788576272;165;-125.75800113373;-131.00616439773;10;2;234.48764814677;203.18158225573;1.5021929513526
111361.36188999714;166;none;none;10;2;51.121101082045;119.8837047774;1.223362790499
111436.11580172908;167;none;none;10;2;48.309017289547;169.88501368127;1.6171909023399
111558.65989623805;168;none;-130.04296201296;10;2;144.39186855986;171.92061048205;1.2515535374147
111819.33794746417;169;-127.47639235158;none;10;2;282.66945477223;221.11040684113;1.2729702175847
111874.68092699918;170;-131.10638908735;none;10;2;301.43171871405;279.03932349496;1.3053443096335
111957.46858997281;171;none;none;10;2;329.49822320816;365.69529447193;1.3537727723606
112120.35378649259;172;-123.69426444555;none;10;2;264.12164066649;252.81831272101;1.3409535160341
112208.05102104412;173;-130.71378229591;-126.15504107485;10;2;220.89813374547;173.18921162021;1.3268582708794
112324.67694513296;174;none;-127.33082935406;10;2;220.50781446;99.011102643142;1.3623850229098
112590.43255584902;175;-132.57866199336;none;10;2;298.70992123245;303.59347459422;1.7584249799396
112676.07136048085;176;none;none;10;2;245.70266361786;376.37768607105;1.7728698170033
112994.72649157964;177;-128.78700731755;none;10;2;220.32213252671;291.59446783469;1.8303815819488
113168.53812412545;178;none;none;10;2;81.320815552664;41.606258936107;1.4221546022603
113377.7997792315;179;none;none;10;2;298.17311850777;86.403658912189;1.8930723524718
113530.8821074495;180;none;none;10;2;107.50310164271;29.788811611968;1.9148094724441
113646.35505154937;181;none;none;10;2;124.83557189898;19.193661760493;1.676679791303
113727.13559194666;182;none;none;10;2;232.04475555621;32.24615048884;1.3985455661432
114057.07262586418;183;none;none;10;2;405.28642553009;303.79607927196;1.5091708095414
114121.05686300005;184;none;none;10;2;463.93831538561;235.19722253575;1.7955505223429
114229.10919307501;185;none;none;10;2;358.15061024007;162.39713781038;1.8482660816219
114299.09058878266;186;none;-131.35824110459;10;2;272.09623158087;118.93316613524;1.8455103934432
114351.37730806701;187;none;-128.62066370942;10;2;207.80055564237;86.458985490796;1.8434514763156
